sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
F3D0	7793	7139	91.61	6968	6923	88.84
F3D1	5869	5294	90.2	5160	5149	87.73
F3D141	5958	5473	91.86	5334	5108	85.73
F3D142	3183	2952	92.74	2820	2728	85.71
F3D143	3178	2946	92.7	2811	2729	85.87
F3D144	4827	4360	90.33	4210	3916	81.13
F3D145	7377	6779	91.89	6606	6140	83.23
F3D146	5021	4569	91	4405	4228	84.21
F3D147	17070	15757	92.31	15527	13898	81.42
F3D148	12405	11404	91.93	11193	10276	82.84
F3D149	13083	12022	91.89	11845	11090	84.77
F3D150	5509	5047	91.61	4857	4660	84.59
F3D2	19620	18120	92.35	17939	17302	88.19
F3D3	6758	6258	92.6	6110	5681	84.06
F3D5	4448	4069	91.48	3960	3935	88.47
F3D6	7989	7401	92.64	7276	7040	88.12
F3D7	5129	4776	93.12	4658	4394	85.67
F3D8	5294	4878	92.14	4758	4735	89.44
F3D9	7070	6527	92.32	6349	6269	88.67
